Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location,Public
Basketball Practice,2025-03-26,15:00,2025-03-26,17:00,false,University Gym,true,false
Basketball Practice,2025-03-28,15:00,2025-03-28,17:00,false,University Gym,true,false
Basketball Practice,2025-03-31,15:00,2025-03-31,17:00,false,University Gym,true,false
Basketball Practice,2025-04-02,15:00,2025-04-02,17:00,false,University Gym,true,false
Basketball Practice,2025-04-04,15:00,2025-04-04,17:00,false,University Gym,true,false
Basketball Practice,2025-04-07,15:00,2025-04-07,17:00,false,University Gym,true,false
Basketball Practice,2025-04-09,15:00,2025-04-09,17:00,false,University Gym,true,false
Basketball Practice,2025-04-11,15:00,2025-04-11,17:00,false,University Gym,true,false
Basketball Practice,2025-04-14,15:00,2025-04-14,17:00,false,University Gym,true,false
Basketball Practice,2025-04-16,15:00,2025-04-16,17:00,false,University Gym,true,false
Basketball Practice,2025-04-18,15:00,2025-04-18,17:00,false,University Gym,true,false
Basketball Practice,2025-04-21,15:00,2025-04-21,17:00,false,University Gym,true,false
Swimming Class,2025-03-27,08:00,2025-03-27,09:30,false,Pool,true,false
Swimming Class,2025-04-01,08:00,2025-04-01,09:30,false,Pool,true,false
Swimming Class,2025-04-03,08:00,2025-04-03,09:30,false,Pool,true,false
Swimming Class,2025-04-08,08:00,2025-04-08,09:30,false,Pool,true,false
Swimming Class,2025-04-10,08:00,2025-04-10,09:30,false,Pool,true,false
Swimming Class,2025-04-15,08:00,2025-04-15,09:30,false,Pool,true,false
Swimming Class,2025-04-17,08:00,2025-04-17,09:30,false,Pool,true,false
Swimming Class,2025-04-22,08:00,2025-04-22,09:30,false,Pool,true,false
Yoga Session,2025-03-29,07:00,2025-03-29,08:30,false,Fitness Center,true,false
Yoga Session,2025-03-30,07:00,2025-03-30,08:30,false,Fitness Center,true,false
Yoga Session,2025-04-05,07:00,2025-04-05,08:30,false,Fitness Center,true,false
Yoga Session,2025-04-06,07:00,2025-04-06,08:30,false,Fitness Center,true,false
