Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location,Public
Computer Science Lecture,2025-03-25,09:00,2025-03-25,10:30,false,Data Structures,Room 301,true
Math Tutorial,2025-03-25,14:00,2025-03-25,15:30,false,Calculus II,Room 205,true
Study Group,2025-03-26,16:00,2025-03-26,18:00,false,Library,true,false
Study Group,2025-03-28,16:00,2025-03-28,18:00,false,Library,true,false
Study Group,2025-03-31,16:00,2025-03-31,18:00,false,Library,true,false
Study Group,2025-04-02,16:00,2025-04-02,18:00,false,Library,true,false
Study Group,2025-04-04,16:00,2025-04-04,18:00,false,Library,true,false
Study Group,2025-04-07,16:00,2025-04-07,18:00,false,Library,true,false
Study Group,2025-04-09,16:00,2025-04-09,18:00,false,Library,true,false
Study Group,2025-04-11,16:00,2025-04-11,18:00,false,Library,true,false
Lab Session,2025-03-27,10:00,2025-03-27,12:00,false,Lab 101,true,false
Lab Session,2025-04-01,10:00,2025-04-01,12:00,false,Lab 101,true,false
Lab Session,2025-04-03,10:00,2025-04-03,12:00,false,Lab 101,true,false
Lab Session,2025-04-08,10:00,2025-04-08,12:00,false,Lab 101,true,false
Lab Session,2025-04-10,10:00,2025-04-10,12:00,false,Lab 101,true,false
Lab Session,2025-04-15,10:00,2025-04-15,12:00,false,Lab 101,true,false
