Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Team Meeting,03/25/2025,09:00 AM,03/25/2025,10:00 AM,False,Weekly team sync,Conference Room A,False
Project Deadline,03/28/2025,05:00 PM,03/28/2025,06:00 PM,False,Submit final project,Office,False
Daily Standup,03/25/2025,08:30 AM,03/25/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,03/26/2025,08:30 AM,03/26/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,03/27/2025,08:30 AM,03/27/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,03/28/2025,08:30 AM,03/28/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,03/31/2025,08:30 AM,03/31/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,04/01/2025,08:30 AM,04/01/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,04/02/2025,08:30 AM,04/02/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,04/03/2025,08:30 AM,04/03/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,04/04/2025,08:30 AM,04/04/2025,08:45 AM,False,Daily team check-in,Zoom,False
Daily Standup,04/07/2025,08:30 AM,04/07/2025,08:45 AM,False,Daily team check-in,Zoom,False
